data,cod_prov,pro_com_t,provincia,comune,vaccinati,immunizzati,target
2021-11-26,83,083038,Messina,Letojanni,1939,1847,2455
2021-11-26,83,083039,Messina,Librizzi,1183,1151,1472
2021-11-26,83,083040,Messina,Limina,585,573,681
2021-11-26,83,083041,Messina,Lipari,7941,7593,11176
2021-11-26,83,083042,Messina,Longi,1058,1025,1247
2021-11-26,83,083043,Messina,Malfa,647,627,874
2021-11-26,83,083044,Messina,Malvagna,506,492,609
2021-11-26,83,083045,Messina,Mandanici,391,380,511
2021-11-26,83,083046,Messina,Mazzarrà Sant'Andrea,975,933,1276
2021-11-26,83,083047,Messina,Merì,1531,1467,2042
2021-11-26,83,083048,Messina,Messina,149774,144636,203885
2021-11-26,83,083049,Messina,Milazzo,21317,20683,27225
2021-11-26,83,083050,Messina,Militello Rosmarino,911,879,1121
2021-11-26,83,083051,Messina,Mirto,730,713,840
2021-11-26,83,083052,Messina,Mistretta,3701,3626,4123
2021-11-26,83,083053,Messina,Moio Alcantara,541,522,629
2021-11-26,83,083054,Messina,Monforte San Giorgio,1753,1702,2371
2021-11-26,83,083055,Messina,Mongiuffi Melia,411,402,513
2021-11-26,83,083056,Messina,Montagnareale,977,958,1324
2021-11-26,83,083057,Messina,Montalbano Elicona,1473,1429,1915
2021-11-26,83,083058,Messina,Motta Camastra,560,541,718
2021-11-26,83,083059,Messina,Motta d'Affermo,549,534,633
2021-11-26,83,083060,Messina,Naso,2637,2579,3290
2021-11-26,83,083061,Messina,Nizza di Sicilia,2258,2187,3235
2021-11-26,83,083062,Messina,Novara di Sicilia,855,828,1120
2021-11-26,83,083063,Messina,Oliveri,1469,1430,1888
2021-11-26,83,083064,Messina,Pace del Mela,3910,3802,5499
2021-11-26,83,083065,Messina,Pagliara,723,692,1010
2021-11-26,83,083066,Messina,Patti,9103,8826,11599
2021-11-26,83,083067,Messina,Pettineo,936,920,1161
2021-11-26,83,083068,Messina,Piraino,2915,2851,3458
2021-11-26,83,083069,Messina,Raccuja,744,719,849
2021-11-26,83,083070,Messina,Reitano,559,538,658
2021-11-26,83,083071,Messina,Roccafiorita,191,190,172
2021-11-26,83,083072,Messina,Roccalumera,2654,2563,3607
2021-11-26,83,083073,Messina,Roccavaldina,712,688,931
2021-11-26,83,083074,Messina,Roccella Valdemone,461,450,541
2021-11-26,83,083075,Messina,Rodì Milici,1411,1379,1812
2021-11-26,83,083076,Messina,Rometta,4126,3991,5846
2021-11-26,83,083077,Messina,San Filippo del Mela,4241,4093,6047
2021-11-26,83,083078,Messina,San Fratello,2507,2448,3105
2021-11-26,83,083079,Messina,San Marco d'Alunzio,1550,1526,1665
2021-11-26,83,083080,Messina,San Pier Niceto,2175,1968,2428
2021-11-26,83,083081,Messina,San Piero Patti,2028,1959,2462
2021-11-26,83,083082,Messina,San Salvatore di Fitalia,933,916,1083
2021-11-26,83,083090,Messina,San Teodoro,908,867,1164
2021-11-26,83,083083,Messina,Santa Domenica Vittoria,713,696,812
2021-11-26,83,083086,Messina,Santa Lucia del Mela,3006,2899,4046
2021-11-26,83,083087,Messina,Santa Marina Salina,569,557,783
2021-11-26,83,083089,Messina,Santa Teresa di Riva,5990,5770,8545
2021-11-26,83,083084,Messina,Sant'Agata di Militello,9239,9021,11205
2021-11-26,83,083085,Messina,Sant'Alessio Siculo,931,901,1355
2021-11-26,83,083088,Messina,Sant'Angelo di Brolo,2130,2080,2642
2021-11-26,83,083091,Messina,Santo Stefano di Camastra,3224,3123,4073
2021-11-26,83,083092,Messina,Saponara,2552,2470,3422
2021-11-26,83,083093,Messina,Savoca,1018,985,1512
2021-11-26,83,083094,Messina,Scaletta Zanclea,1138,1093,1773
2021-11-26,83,083095,Messina,Sinagra,1872,1824,2325
2021-11-26,83,083096,Messina,Spadafora,3206,3110,4386
2021-11-26,83,083097,Messina,Taormina,6861,6657,9590
2021-11-26,83,083106,Messina,Terme Vigliatore,5046,4928,6390
2021-11-26,83,083098,Messina,Torregrotta,5157,4918,6469
2021-11-26,83,083108,Messina,Torrenova,3281,3199,4031
2021-11-26,83,083099,Messina,Tortorici,3890,3693,5375
2021-11-26,83,083100,Messina,Tripi,554,527,706
2021-11-26,83,083101,Messina,Tusa,2063,2022,2528
2021-11-26,83,083102,Messina,Ucria,754,746,875
2021-11-26,83,083103,Messina,Valdina,844,816,1179
2021-11-26,83,083104,Messina,Venetico,2553,2487,3543
2021-11-26,83,083105,Messina,Villafranca Tirrena,5529,5374,7513
2021-11-26,82,082001,Palermo,Alia,2733,2642,3096
2021-11-26,82,082002,Palermo,Alimena,1382,1339,1732
2021-11-26,82,082003,Palermo,Aliminusa,859,842,1026
2021-11-26,82,082004,Palermo,Altavilla Milicia,5886,5713,7403
2021-11-26,82,082005,Palermo,Altofonte,6797,6562,8680
2021-11-26,82,082006,Palermo,Bagheria,38624,37465,46931
2021-11-26,82,082007,Palermo,Balestrate,4796,4606,5750
2021-11-26,82,082008,Palermo,Baucina,1409,1350,1671
2021-11-26,82,082009,Palermo,Belmonte Mezzagno,8142,7885,9553
2021-11-26,82,082010,Palermo,Bisacquino,3322,3235,3861
2021-11-26,82,082082,Palermo,Blufi,651,627,853
2021-11-26,82,082011,Palermo,Bolognetta,2809,2722,3620
2021-11-26,82,082012,Palermo,Bompietro,982,941,1189
2021-11-26,82,082013,Palermo,Borgetto,4683,4495,6209
2021-11-26,82,082014,Palermo,Caccamo,5961,5795,7187
2021-11-26,82,082015,Palermo,Caltavuturo,2929,2869,3414
2021-11-26,82,082016,Palermo,Campofelice di Fitalia,369,358,420
2021-11-26,82,082017,Palermo,Campofelice di Roccella,5779,5641,6841
2021-11-26,82,082018,Palermo,Campofiorito,952,924,1085
2021-11-26,82,082019,Palermo,Camporeale,2265,2207,2701
2021-11-26,82,082020,Palermo,Capaci,8028,7813,10109
2021-11-26,82,082021,Palermo,Carini,26571,25682,33541
2021-11-26,82,082022,Palermo,Castelbuono,6795,6678,7684
2021-11-26,82,082023,Palermo,Casteldaccia,8356,8170,10066
2021-11-26,82,082024,Palermo,Castellana Sicula,2578,2472,2891
2021-11-26,82,082025,Palermo,Castronovo di Sicilia,2278,2208,2709
2021-11-26,82,082026,Palermo,Cefalà Diana,785,766,873
2021-11-26,82,082027,Palermo,Cefalù,11412,11188,12810
2021-11-26,82,082028,Palermo,Cerda,3660,3531,4446
2021-11-26,82,082029,Palermo,Chiusa Sclafani,2003,1957,2435
2021-11-26,82,082030,Palermo,Ciminna,2629,2540,3187
2021-11-26,82,082031,Palermo,Cinisi,8715,8419,10548
2021-11-26,82,082032,Palermo,Collesano,3042,3000,3486
2021-11-26,82,082033,Palermo,Contessa Entellina,1288,1264,1437
2021-11-26,82,082034,Palermo,Corleone,7983,7698,9575
2021-11-26,82,082035,Palermo,Ficarazzi,8668,8411,10932
2021-11-26,82,082036,Palermo,Gangi,5223,5117,5856
2021-11-26,82,082037,Palermo,Geraci Siculo,1518,1442,1665
2021-11-26,82,082038,Palermo,Giardinello,1667,1623,1987
2021-11-26,82,082039,Palermo,Giuliana,1498,1476,1630
2021-11-26,82,082040,Palermo,Godrano,861,841,990
2021-11-26,82,082041,Palermo,Gratteri,694,667,817
2021-11-26,82,082042,Palermo,Isnello,1204,1191,1291
2021-11-26,82,082043,Palermo,Isola delle Femmine,5020,4845,6283
2021-11-26,82,082044,Palermo,Lascari,2785,2726,3296
2021-11-26,82,082045,Palermo,Lercara Friddi,5152,4969,5796
2021-11-26,82,082046,Palermo,Marineo,4649,4498,5616
2021-11-26,82,082047,Palermo,Mezzojuso,2122,2069,2494
2021-11-26,82,082048,Palermo,Misilmeri,20493,19857,24921
2021-11-26,82,082049,Palermo,Monreale,26618,25911,32745
